,Sex,Marital status,Age,Education,Income,Occupation,Settlement size,Cluster
1,Female,Married,22,High School,150773,Skilled Employee/Official,Big city,0
2,Male,Single,49,High School,89210,Unemployed/Unskilled,Small City,3
3,Male,Single,45,High School,171565,Skilled Employee/Official,Mid-sized city,1
4,Male,Single,53,High School,149031,Skilled Employee/Official,Mid-sized city,1
5,Male,Single,35,High School,144848,Unemployed/Unskilled,Small City,3
6,Male,Single,53,High School,156495,Skilled Employee/Official,Mid-sized city,1
7,Male,Single,35,High School,193621,management / self-employed / highly qualified employee / officer,Mid-sized city,1
8,Male,Married,61,University,151591,Unemployed/Unskilled,Small City,2
9,Male,Married,28,High School,174646,management / self-employed / highly qualified employee / officer,Small City,0
10,Female,Married,25,High School,108469,Skilled Employee/Official,Small City,0
11,Female,Married,24,High School,127596,Skilled Employee/Official,Small City,0
12,Female,Married,22,High School,108687,Skilled Employee/Official,Big city,0
13,Male,Single,60,University,89374,Unemployed/Unskilled,Small City,2
14,Female,Married,28,High School,102899,Skilled Employee/Official,Mid-sized city,0
15,Female,Married,32,High School,88428,Unemployed/Unskilled,Small City,3
16,Male,Single,53,High School,125550,Skilled Employee/Official,Small City,1
17,Male,Single,25,other/unknown,157434,Skilled Employee/Official,Big city,1
19,Male,Single,31,other/unknown,144657,Skilled Employee/Official,Mid-sized city,1
20,Male,Single,48,High School,118777,Skilled Employee/Official,Mid-sized city,1
21,Male,Single,44,High School,147511,Skilled Employee/Official,Mid-sized city,1
22,Male,Single,48,High School,89804,Unemployed/Unskilled,Small City,3
23,Male,Single,44,High School,134918,Skilled Employee/Official,Big city,1
24,Male,Married,26,High School,103667,Skilled Employee/Official,Big city,0
25,Male,Single,36,High School,71909,Unemployed/Unskilled,Small City,3
26,Male,Married,39,High School,68264,Unemployed/Unskilled,Small City,3
27,Female,Married,42,University,163025,Skilled Employee/Official,Mid-sized city,2
28,Male,Single,34,High School,119307,Skilled Employee/Official,Mid-sized city,1
29,Male,Single,63,University,175882,Skilled Employee/Official,Small City,2
30,Male,Married,36,High School,159646,Skilled Employee/Official,Mid-sized city,0
31,Male,Single,27,other/unknown,120131,Skilled Employee/Official,Mid-sized city,1
32,Male,Single,30,other/unknown,162745,Skilled Employee/Official,Big city,1
33,Male,Single,57,University,87605,Unemployed/Unskilled,Small City,2
